k_value,p_value,paa_value,max_level,ncp
10,9,3,6,10.24540955264008
10,9,3,7,15.686538642176462
10,9,3,8,13.593776516506637
10,9,3,9,15.174500650749332
10,9,3,10,15.135049683704057
10,9,4,5,12.508006470497563
10,9,4,6,10.49140401140513
10,9,4,7,13.923099541878509
10,9,4,8,17.049020403770477
10,9,4,9,17.049020403770477
10,9,4,10,17.049030887403614
10,9,5,5,12.89510373602231
10,9,5,6,15.303931509867608
10,9,5,7,16.50343744985003
10,9,5,8,16.367595665203336
10,9,5,9,16.367595665203336
10,9,5,10,16.367595665203336
10,8,3,5,12.941757535324175
10,8,3,6,9.658979616838682
10,8,3,7,13.833886874792597
10,8,3,8,16.769329411624643
10,8,3,9,14.995594482111748
10,8,3,10,16.90809368798376
10,8,4,5,10.228933484153153
10,8,4,6,15.905105090711109
10,8,4,7,15.407328020928265
10,8,4,8,16.44978525829426
10,8,4,9,17.61380196756261
10,8,4,10,17.61380196756261
10,8,5,5,11.483852675843043
10,8,5,6,13.212999948709518
10,8,5,7,14.144185187420877
10,8,5,8,14.144185187420877
10,8,5,9,15.757044587219914
10,8,5,10,15.757044587219914
10,7,3,5,8.179044354773195
10,7,3,6,8.60151395660451
10,7,3,7,9.420503237466296
10,7,3,8,14.965768953569244
10,7,3,9,13.437539834776873
10,7,3,10,13.524104750607238
10,7,4,5,10.125738322272941
10,7,4,6,9.620447731780112
10,7,4,7,9.909295611835468
10,7,4,8,12.929817075335542
