['k_value', 'p_value', 'paa_value', 'max_level', 'ncp']
[9, 5, 5, 8, 235.34659989687296]
[9, 5, 5, 9, 237.3227061560234]
[9, 5, 5, 10, 239.2557598277667]
[10, 5, 3, 5, 207.07541197238274]
[10, 5, 3, 6, 202.38901781705968]
[10, 5, 3, 7, 242.48834226852088]
[10, 5, 3, 8, 248.61665812809093]
[10, 5, 3, 9, 275.0483325192991]
[10, 5, 3, 10, 273.34325671678704]
[10, 5, 4, 5, 270.31602170487923]
[10, 5, 4, 6, 269.1025421015899]
[10, 5, 4, 7, 271.33988292747966]
[10, 5, 4, 8, 267.0962557950824]
[10, 5, 4, 9, 270.7773285134982]
[10, 5, 4, 10, 266.11734598525913]
[10, 5, 5, 5, 240.80821073922021]
[10, 5, 5, 6, 239.61851918636154]
[10, 5, 5, 7, 241.78994084223373]
[10, 5, 5, 8, 236.44641256250412]
[10, 5, 5, 9, 242.1691690033351]
[10, 5, 5, 10, 237.74551594975384]
[11, 5, 3, 5, 199.92859853236885]
[11, 5, 3, 6, 215.1642586424197]
[11, 5, 3, 7, 253.63511270080855]
[11, 5, 3, 8, 258.97357606164394]
[11, 5, 3, 9, 287.5171300417895]
[11, 5, 3, 10, 283.5726490870124]
[11, 5, 4, 5, 275.3254314852546]
[11, 5, 4, 6, 272.7411034840359]
[11, 5, 4, 7, 270.5439056284329]
[11, 5, 4, 8, 271.28631644266284]
[11, 5, 4, 9, 277.6648765696877]
[11, 5, 4, 10, 272.94668498463386]
[11, 5, 5, 5, 245.18613087909625]
[11, 5, 5, 6, 240.3129070787125]
[11, 5, 5, 7, 244.5691326861876]
